instance_id,repo,mode,elapsed_ms,cached_tokens,output_chars,lossy_match_reason,matched_content_signature,codebase_prefetch_hint_count,codebase_prefetch_text_count,codebase_prefetch_queued_tokens,codebase_prefetch_matched_tokens,codebase_prefetch_success_count,codebase_prefetch_device_hit_count,agenttemplatekv_prefetch_hit_count,agenttemplatekv_prefetch_miss_count,agenttemplatekv_prefetch_protected_tokens,agenttemplatekv_prefetch_newly_protected_tokens,agenttemplatekv_prefetch_consumed_count,agenttemplatekv_prefetch_expired_tokens,agenttemplatekv_rejected_large_gap_count,request_start_ms,output_exact_match_vs_baseline,output_token_f1_vs_baseline
astropy__astropy-12907,astropy/astropy,baseline_prefix_cache_only,720.52,10547,131,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067537220.71,True,1.0
astropy__astropy-12907,astropy/astropy,kvflow_prefix_only,924.21,10547,179,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067537941.35,False,0.0
astropy__astropy-12907,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,2168.48,10550,475,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067538866.0,False,0.0
astropy__astropy-12907,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,2285.69,10548,468,exact_code_content_signature,43b875af6787468bd882a08171a25d62,2,2,0,0,0,0,0,0,9418,9418,0,0,0,1067541089.66,False,0.0
astropy__astropy-13033,astropy/astropy,baseline_prefix_cache_only,1534.34,10727,320,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067546428.74,True,1.0
astropy__astropy-13033,astropy/astropy,kvflow_prefix_only,1530.09,10727,320,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067547963.19,True,1.0
astropy__astropy-13033,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,1532.74,10730,320,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067549493.72,True,1.0
astropy__astropy-13033,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,1542.18,10728,320,exact_code_content_signature,33d2b9feb242a53f,2,2,0,0,0,0,0,0,9424,9424,0,0,0,1067551080.52,True,1.0
astropy__astropy-13236,astropy/astropy,baseline_prefix_cache_only,2285.27,11532,505,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067555771.65,True,1.0
astropy__astropy-13236,astropy/astropy,kvflow_prefix_only,2281.77,11532,512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067558057.02,False,0.8264
astropy__astropy-13236,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,2282.07,11535,498,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067560339.24,False,0.9194
astropy__astropy-13236,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,2293.68,11533,510,exact_code_content_signature,c6fabac696de5ead820754bffe2ee5e8,2,2,0,0,0,0,0,0,9432,9432,0,0,0,1067562677.4,False,0.7667
astropy__astropy-13398,astropy/astropy,baseline_prefix_cache_only,2299.33,13240,431,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067568495.64,True,1.0
astropy__astropy-13398,astropy/astropy,kvflow_prefix_only,1130.99,13240,215,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067570795.06,False,0.0833
astropy__astropy-13398,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,1446.16,13243,293,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067571926.5,False,0.0
astropy__astropy-13398,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,1907.42,13241,382,exact_code_content_signature,587e84b6ee4dafc2b2b60963af2370d7,2,2,0,0,0,0,0,0,9430,9430,0,0,0,1067573429.65,False,0.0702
astropy__astropy-13453,astropy/astropy,baseline_prefix_cache_only,2105.34,12492,410,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067578799.06,True,1.0
astropy__astropy-13453,astropy/astropy,kvflow_prefix_only,2159.57,12492,449,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067580904.51,False,0.8116
astropy__astropy-13453,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,2295.05,12495,466,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067583064.52,False,0.7246
astropy__astropy-13453,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,2299.99,12493,461,exact_code_content_signature,587e84b6ee4dafc2b2b60963af2370d7,2,2,0,0,0,0,0,0,9430,9430,0,0,0,1067585415.46,False,0.7222
astropy__astropy-13579,astropy/astropy,baseline_prefix_cache_only,2287.95,11808,390,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067591095.12,True,1.0
astropy__astropy-13579,astropy/astropy,kvflow_prefix_only,2296.36,11808,390,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067593383.18,True,1.0
astropy__astropy-13579,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,2282.4,11811,390,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067595679.99,True,1.0
astropy__astropy-13579,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,2293.77,11809,390,exact_code_content_signature,587e84b6ee4dafc2b2b60963af2370d7,2,2,0,0,0,0,0,0,9430,9430,0,0,0,1067598019.07,True,1.0
astropy__astropy-13977,astropy/astropy,baseline_prefix_cache_only,1186.07,12895,243,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067603734.39,True,1.0
astropy__astropy-13977,astropy/astropy,kvflow_prefix_only,1186.8,12895,243,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067604920.57,True,1.0
astropy__astropy-13977,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,1186.35,12898,243,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067606107.82,True,1.0
astropy__astropy-13977,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,1188.94,12896,243,exact_code_content_signature,4ca549c20d697189c6c174faae87abcd,2,2,0,0,0,0,0,0,9479,9479,0,0,0,1067607352.06,True,1.0
astropy__astropy-14096,astropy/astropy,baseline_prefix_cache_only,960.06,10393,215,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067611760.63,True,1.0
astropy__astropy-14096,astropy/astropy,kvflow_prefix_only,939.59,10393,188,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1067612720.8,False,0.0
astropy__astropy-14096,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,957.51,10396,215,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1067613660.84,True,1.0
