instance_id,repo,mode,elapsed_ms,cached_tokens,output_chars,lossy_match_reason,matched_content_signature,codebase_prefetch_hint_count,codebase_prefetch_text_count,codebase_prefetch_queued_tokens,codebase_prefetch_matched_tokens,codebase_prefetch_success_count,codebase_prefetch_device_hit_count,agenttemplatekv_prefetch_hit_count,agenttemplatekv_prefetch_miss_count,agenttemplatekv_prefetch_protected_tokens,agenttemplatekv_prefetch_newly_protected_tokens,agenttemplatekv_prefetch_consumed_count,agenttemplatekv_prefetch_expired_tokens,agenttemplatekv_rejected_large_gap_count,request_start_ms,output_exact_match_vs_baseline,output_token_f1_vs_baseline
astropy__astropy-12907,astropy/astropy,baseline_prefix_cache_only,854.86,10547,134,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1068516415.7,True,1.0
astropy__astropy-12907,astropy/astropy,kvflow_prefix_only,1054.47,10547,179,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1068517270.66,False,0.0
astropy__astropy-12907,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,2089.86,10550,388,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1068518325.57,False,0.0
astropy__astropy-12907,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,1948.76,10548,362,exact_code_content_signature,43b875af6787468bd882a08171a25d62,2,2,0,0,0,0,0,2,9418,0,0,0,0,1068520469.84,False,0.0
astropy__astropy-13033,astropy/astropy,baseline_prefix_cache_only,1762.08,10727,320,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1068516411.75,True,1.0
astropy__astropy-13033,astropy/astropy,kvflow_prefix_only,1761.56,10727,320,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1068518173.94,True,1.0
astropy__astropy-13033,astropy/astropy,kvflow_prefix_plus_codebase_prefetch,1764.84,10730,320,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1068519935.93,True,1.0
astropy__astropy-13033,astropy/astropy,kvcomm_lossy_plus_codebase_prefetch,2080.74,10728,320,exact_code_content_signature,c2fcd93b717e9d059169b1454b25e12b,2,2,0,0,0,0,0,2,9424,0,0,0,0,1068521752.44,True,1.0
astropy__astropy-13236,astropy/astropy,baseline_prefix_cache_only,2645.4,11532,509,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1068516413.09,True,1.0
astropy__astropy-13236,astropy/astropy,kvflow_prefix_only,2602.39,11532,512,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1068519058.59,False,0.8099
