To resolve the `combine_by_coords` issue, we need to ensure that the coordinates are monotonic and handle cases where they are not. The error message and conditions for monotonicity should be clarified and corrected. Specifically, the error is raised incorrectly indicating a error with monotonic check.

Here's the updated and corrected version of the `_infer_concat_order_from_coords` and `_combine_nested` to ensure the coordinates are handled correctly:

1. **Fix the monotonicity check:**
   - Ensure the coordinates are checked for monotonicity correctly.
   - Raise informative errors for non-monotonic cases.

2. **Handle the concatenation and merging correctly:**
   - Ensure concatenation and merging works as expected.
   - Return a combined `Dataset`.

Here's the updated version of the `_infer_concat_order_from_coords` and `_combine_nested`:

```python
import itertools
from collections import OrderedDict
from typing import Iterable, Iterator, Tuple, TypeVar, Type, Type, Iterable, Iterator, TypeVar
from typing import *

import numpy as np
from pandas import Index
from pandas.api.types import InferenceInfo
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from typing import *
from pandas import Index
from pandas.api.indexers import Indexer
from pandas._libs.hashtable import Frozenes as Frozenes
from pandas.compat import.iteritems
from pandas._libs import iNaT
from pandas._libs.tslibs import Timestamp
from pandas._libs.tslibs import iNaT
import pandas as pd
from pandas import Index, Index, IndexSlice
from pandas._libs import lib
from pandas._libs import lib
from pandas._libs import tslib
from pandas._libs.tslibs import iNaT
```

```python
import xarray as xr
from typing import *
from xarray import (
    Dataset, combine_nested, combine_by_coords, combine_nested, combine_first,
